body,tags,score,answercount
"""NotImplementedError: Could not run 'aten::add.out' with arguments from the 'QuantizedCPU' backend"" while implementing QAT on resnet18 using pytorch I am trying to implement Quantization Aware Training(QAT) resnet18 model. While inferring I get this errorNotImplementedError: Could not run 'aten::add.out' with arguments from the 'QuantizedCPU' backendI am trying to followthis documentationby pytorch for using their QAT APIHere is my code, I am also attaching agoogle collab notebook linkBlock 1 - Importing the necessary libraries, defining training and evaluation functionsimport torch import torch.nn as nn import torch.optim as optim import torchvision import torchvision.transforms as transforms from torchvision.models import resnet18 import matplotlib.pyplot as plt import copy import numpy as np import os  def evaluate_model(model, test_loader, device, criterion=None):     model.eval()     model.to(device)     running_loss = 0     running_corrects = 0     for inputs, labels in test_loader:         inputs = inputs.to(device)         labels = labels.to(device)         outputs = model(inputs)         _, preds = torch.max(outputs, 1)         if criterion is not None:             loss = criterion(outputs, labels).item()         else:             loss = 0         running_loss += loss * inputs.size(0)         running_corrects += torch.sum(preds == labels.data)     eval_loss = running_loss / len(test_loader.dataset)     eval_accuracy = running_corrects / len(test_loader.dataset)     return eval_loss, eval_accuracy    def train_model(model, train_loader, test_loader, device, learning_rate=1e-1, num_epochs=200):     criterion = nn.CrossEntropyLoss()     model.to(device)     #optimizer = optim.SGD(model.parameters(), lr=learning_rate, momentum=0.9, weight_decay=1e-4)     optimizer = optim.Adam(model.parameters(), lr=1e-4)     scheduler = torch.optim.lr_scheduler.MultiStepLR(optimizer, milestones=[100, 150], gamma=0.1, last_epoch=-1)     model.eval()     eval_loss, eval_accuracy = evaluate_model(model=model, test_loader=test_loader, device=device, criterion=criterion)     print(""Epoch: {:02d} Eval Loss: {:.3f} Eval Acc: {:.3f}"".format(-1, eval_loss, eval_accuracy))     for epoch in range(num_epochs):         model.train()         running_loss = 0         running_corrects = 0         for inputs, labels in train_loader:             inputs = inputs.to(device)             labels = labels.to(device)             optimizer.zero_grad()             outputs = model(inputs)             _, preds = torch.max(outputs, 1)             loss = criterion(outputs, labels)             if torch.isnan(loss):                 print(""NaN in Loss!"")                 return model             loss.backward()             optimizer.step()             running_loss += loss.item() * inputs.size(0)             running_corrects += torch.sum(preds == labels.data)          train_loss = running_loss / len(train_loader.dataset)         train_accuracy = running_corrects / len(train_loader.dataset)         model.eval()         eval_loss, eval_accuracy = evaluate_model(model=model, test_loader=test_loader, device=device, criterion=criterion)         scheduler.step()         print(""Epoch: {:03d} Train Loss: {:.3f} Train Acc: {:.3f} Eval Loss: {:.3f} Eval Acc: {:.3f}"".format(epoch, train_loss, train_accuracy, eval_loss, eval_accuracy))     return modelBlock 2 - Loading trainset and testset (CIFAR 100 resized to 224*224)transform_train = transforms.Compose([     transforms.Resize(224),     transforms.RandomHorizontalFlip(),     transforms.ToTensor(),     transforms.Normalize((0.5, 0.5, 0.5), (0.5, 0.5, 0.5)) ]) transform_test = transforms.Compose([     transforms.Resize(224),     transforms.ToTensor(),     transforms.Normalize((0.5, 0.5, 0.5), (0.5, 0.5, 0.5)) ])  trainset = torchvision.datasets.CIFAR100(root='./data', train=True, download=True, transform=transform_train) trainloader = torch.utils.data.DataLoader(trainset, batch_size=128, shuffle=True, num_workers=2)  testset = torchvision.datasets.CIFAR100(root='./data', train=False, download=True, transform=transform_test) testloader = torch.utils.data.DataLoader(testset, batch_size=128, shuffle=False, num_workers=2)  print(""Data loaded and transformed successfully!"")Block 3 -class QuantizedResNet18(nn.Module):     def __init__(self, model_fp32):         super().__init__()         # QuantStub converts tensors from floating point to quantized.         # This will only be used for inputs.         self.quant = torch.ao.quantization.QuantStub()         # DeQuantStub converts tensors from quantized to floating point.         # This will only be used for outputs.         self.dequant = torch.ao.quantization.DeQuantStub()         # FP32 model         self.model_fp32 = model_fp32      def forward(self, x):         # manually specify where tensors will be converted from floating         # point to quantized in the quantized model         print(f""Input shape before quant: {x.shape}, dtype: {x.dtype}"")         x = self.quant(x)         print(f""Input shape after quant: {x.shape}, dtype: {x.dtype}"")         x = self.model_fp32(x)         print(f""Input shape: {x.shape}, dtype: {x.dtype}"")         # manually specify where tensors will be converted from quantized         # to floating point in the quantized model         x = self.dequant(x)         print(f""Input shape: {x.shape}, dtype: {x.dtype}"")         return x  model = resnet18(num_classes=100, pretrained=False) fused_model = copy.deepcopy(model) fused_model.eval() qconfig = torch.ao.quantization.get_default_qconfig('fbgemm') fused_model.qconfig = qconfig  # Fuse the model in place rather manually. fused_model = torch.ao.quantization.fuse_modules(fused_model, [[""conv1"", ""bn1"", ""relu""]], inplace=True) for module_name, module in fused_model.named_children():     if ""layer"" in module_name:         for basic_block_name, basic_block in module.named_children():             torch.ao.quantization.fuse_modules(basic_block, [[""conv1"", ""bn1"", ""relu""], [""conv2"", ""bn2""]], inplace=True)             for sub_block_name, sub_block in basic_block.named_children():                 if sub_block_name == ""downsample"":                     torch.ao.quantization.fuse_modules(sub_block, [[""0"", ""1""]], inplace=True)  quantized_model_1 = QuantizedResNet18(model_fp32=fused_model) quantized_model_1.qconfig = qconfig cuda_device = torch.device(""cuda:0"") quantized_model_1_prepared = torch.ao.quantization.prepare_qat(quantized_model_1.train()) trained_quantized_model_1_prepared = train_model(model=quantized_model_1_prepared, train_loader=trainloader, test_loader=testloader, device=cuda_device, learning_rate=1e-3, num_epochs=1) cpu_device = torch.device(""cpu:0"") trained_quantized_model_1_prepared.to(cpu_device) trained_quantized_model_1_prepared.eval() trained_quantized_model_1_prepared_int8 =  torch.ao.quantization.convert(trained_quantized_model_1_prepared) print(evaluate_model(model=trained_quantized_model_1_prepared_int8, test_loader=testloader, device=cpu_device))the issue is in the last line when I try to run evaluate_model function, particularly while inferring (outputs = model(inputs))I get the following errorNotImplementedError: Could not run 'aten::add.out' with arguments from the 'QuantizedCPU' backend. This could be because the operator doesn't exist for this backend, or was omitted during the selective/custom build process (if using custom build). If you are a Facebook employee using PyTorch on mobile, please visit https://fburl.com/ptmfixes for possible resolutions. 'aten::add.out' is only available for these backends: [CPU, CUDA, Meta, MkldnnCPU, SparseCPU, SparseCUDA, SparseMeta, SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta, BackendSelect, Python, FuncTorchDynamicLayerBackMode, Functionalize, Named, Conjugate, Negative, ZeroTensor, ADInplaceOrView, AutogradOther, AutogradCPU, AutogradCUDA, AutogradHIP, AutogradXLA, AutogradMPS, AutogradIPU, AutogradXPU, AutogradHPU, AutogradVE, AutogradLazy, AutogradMTIA, AutogradPrivateUse1, AutogradPrivateUse2, AutogradPrivateUse3, AutogradMeta, AutogradNestedTensor, Tracer, AutocastCPU, AutocastXPU, AutocastMPS, AutocastCUDA, FuncTorchBatched, BatchedNestedTensor, FuncTorchVmapMode, Batched, VmapMode, FuncTorchGradWrapper, PythonTLSSnapshot,","('python-3.x', 'deep-learning', 'pytorch', 'resnet', 'quantization-aware-training')",0,1
"Unable to add New Test in Android Studio I am using AS Ladybug | 2024.2.1 Patch 2 on mac OS. To add New Test for a class, it's usually using Command+Shift+T when the cursor was put in the class or a function/method. But ""No Test subjects found"" tooltip shows up. And from menu (File) or RMB there is no were shows New Test.","('android',)",0,1
"Microsoft MAUI App Debug.WriteLine Not Showing on Android After working correctly for a long time the output from Debug.WriteLine stopped showing up on Android (it's fine on Windows) using VS2022 Preview (17.13.0 preview 1) but works fine on the released product (17.12.2).I've got a simple test program built using MAUI and .NET 8 which just writes a few lines in response to a button press, the relevant part looks like this:private void OnButtonClicked(object sender, EventArgs e) {     for (int i = 20; i > 0; i--)         Debug.WriteLine(""*************************************************""); }The whole project is available on GitHub athttps://github.com/david-maw/WriteLine.gitThings I've tried so far:Reboot the development systemReinstall Visual Studio 2022 PreviewTest on Multiple Android environmentsRedirect debug output to immediate window.Still, Windows always works, Android on VS2022 works, Android on VS2022 Preview has stopped working (I'm pretty sure the same version used to work).Has anyone got any other ideas?","('c#', 'android', 'output', 'maui')",1,0
how can I customize my docs that's generate with drf-spectacular for my djoser app i have and issue to customize any third pkg schema cause i cant access the pkg is there any solution for this ? i am usingdrf_spectacularanddjoserand i cant customize social provider endpointI am stuck in this bug if anyone can help?,"('schema', 'djoser', 'drf-spectacular')",0,0
"Problem updating Bool Values in Flutter and Firebase I am starting using Flutter and Firebase to make small app.I am using the Email and Password feature from firebase and i got this module to know if a document with the same name as the user UID exists on firebase.Future<bool> documentTiendaNExist(String id) async {     DocumentSnapshot<Map<String, dynamic>> document = await FirebaseFirestore         .instance         .collection(""DocumentName"")         .doc(id)         .get();      if (document.exists) {       return true;     } else {       return false;     }   }And this is the code where want to log in and send me to the main page if the document exist or to the Registration page if the document doesn't exists.mainAccess() async {     if (passwordcontroller.text != """" && mailcontroller.text != """") {         await FirebaseAuth.instance             .signInWithEmailAndPassword(email: email, password: password);      if (await DatabaseMethods().documentTiendaNExist(id) == true)    {    //OPEN MAIN PAGE    }else{    //OPEN REGISTRATION PAGE    } }The problem is that when i log in and i have the document on the database, the value of documentTiendaNExist stays on False and sends me to the Registration page instead of the main pageWhat i am seeing on the breakpoint and the output is that the documentTiendaNExist value changes to True after opening the main page, meaning that is taking a lot of time to change the value or maybe i am calling it in a wrong way.Any help or tip will be appreaciated","('flutter', 'firebase', 'dart', 'google-cloud-firestore')",1,2
"Setting the JoyUI theme based on system preference I was looking over the JoyUI Dark mode documentation athttps://mui.com/joy-ui/customization/dark-mode/and I'm having a hard time finding ways to set the theme based on system preference. I am using Next.js v14 and my root layout is as follows (same as in documentation):<html lang=""en"">   <body>     <InitColorSchemeScript />     <CssVarsProvider>       <CssBaseline />       {children}     </CssVarsProvider>   </body> </html>extendTheme({ colorSchemeSelector: 'media' })does not work, there is no 'colorSchemeSelector' property on that object. I did find a similarly-named prop onCssVarsProvider, however setting it to 'media' does not appear to work.I see theuseColorSchemehook which returns a{ mode, systemMode }object, but apparentlysystemModeis undefined by default unless mode is set to 'system'. So I guess if I want to do system by default I need to use the other hook to set mode to system on first render? This seems overly complicated to me & could maybe cause problems with flickering given that I am using SSR. I feel like there should be a 'mode' property I can set, maybe on theCssVarsProvidercomponent.","('next.js', 'material-ui', 'joy-ui')",0,1
"FastAPI with Pydantic and Typing Literal throws literal_error (422 Unprocessable Entity) I defined a custom pydantic class and a FastAPI route as below:class QuestionParameters(BaseModel):     test_type: Union[Literal[""single_choice"", ""multiple_choices""], None] = None     number_of_questions: Union[Literal[5, 10, 15], None] = None     categories: Union[List[str], None] = None  @app.post(""/generate_quiz"") def generate_quiz(qcm_params: Annotated[QuestionParameters, Query()], user: str = Depends(verify_credentials)):     """"""Génère un QCM basé sur les paramètres fournis.          PARAMS:     -------     - test_type: str         Le type de test souhaité. Par exemple ""multiple_choices""     - categories: List[str]         Une liste des catégories de questions souhaitées.     - number_of_questions: int         Le nombre de question à inclure dans le QCM      RETURN:     -------     List[Question]          """"""     test_type = qcm_params.test_type     number_of_questions = qcm_params.number_of_questions     categories = qcm_params.categories     ....When I do a this request:curl -X 'POST' \   'http://localhost:8000/generate_quiz?test_type=single_choice&number_of_questions=10&categories=Automation&categories=Data%20Science' \   -H 'accept: application/json'I get the following error message:{   ""detail"": [     {       ""type"": ""literal_error"",       ""loc"": [         ""query"",         ""number_of_questions""       ],       ""msg"": ""Input should be 5, 10 or 15"",       ""input"": ""10"",       ""ctx"": {         ""expected"": ""5, 10 or 15""       }     }   ] }I don't understand why the query parameternumber_of_questionsis considered as string input besides it's an int value (10) I past as shown in curl request or FastAPI docs.Could someone explain me what is wrong ? Thanks!","('python', 'fastapi', 'python-typing', 'pydantic')",3,1
"How can we remove all undefined properties from an object, in TS? I am trying to remove undefined properties from an object in TS. Below is my attempt. What am I missing here?function objectWithoutUndefined<O extends Record<string, unknown>>(   obj: O, ): { [K in keyof O]: O[K] extends undefined ? never : O[K] }  {   Object.keys(obj).forEach((key) => obj[key] === undefined && delete obj[key]);   return obj; }I am getting this error on the return line:Type 'O' is not assignable to type '{ [K in keyof O]: O[K] extends undefined ? never : O[K]; }'.Type 'Record<string, unknown>' is not assignable to type '{ [K in keyof O]: O[K] extends undefined ? never : O[K]; }'. [2322]","('typescript',)",1,2
"flutter build failure with problem occurred configuring project i'm building a flutter app where i'm usingbetter_playerplugin, the app was running just fine until it started giving me this error when i run it:Launching lib/main.dart on SM N950F in debug mode...  FAILURE: Build failed with an exception.  * What went wrong: A problem occurred configuring project ':better_player'. > Could not create an instance of type com.android.build.api.variant.impl.LibraryVariantBuilderImpl.    > Namespace not specified. Specify a namespace in the module's build file. See https://d.android.com/r/tools/upgrade-assistant/set-namespace for information about setting the namespace.       If you've specified the package attribute in the source AndroidManifest.xml, you can use the AGP Upgrade Assistant to migrate to the namespace value in the build file. Refer to https://d.android.com/r/tools/upgrade-assistant/agp-upgrade-assistant for general information about using the AGP Upgrade Assistant.  * Try: > Run with --stacktrace option to get the stack trace. > Run with --info or --debug option to get more log output. > Run with --scan to get full insights. > Get more help at https://help.gradle.org.  BUILD FAILED in 1m 14s Error: Gradle task assembleDebug failed with exit code 1  Exited (1).this is myandroid/build.gradle:allprojects {     repositories {         google()         mavenCentral()     } }  rootProject.buildDir = ""../build"" subprojects {     project.buildDir = ""${rootProject.buildDir}/${project.name}"" } subprojects {     project.evaluationDependsOn("":app"") }  tasks.register(""clean"", Delete) {     delete rootProject.buildDir }this isapp/build.gradleplugins {     id ""com.android.application""     id ""kotlin-android""     id ""dev.flutter.flutter-gradle-plugin"" }  android {     namespace = ""com.example.seriez""     compileSdk = flutter.compileSdkVersion     ndkVersion = flutter.ndkVersion      compileOptions {         sourceCompatibility = JavaVersion.VERSION_1_8         targetCompatibility = JavaVersion.VERSION_1_8     }      kotlinOptions {         jvmTarget = JavaVersion.VERSION_1_8     }      defaultConfig {         applicationId = ""com.example.seriez""         minSdk = flutter.minSdkVersion         targetSdk = flutter.targetSdkVersion         versionCode = flutter.versionCode         versionName = flutter.versionName     }      buildTypes {         release {             signingConfig = signingConfigs.debug         }     } }  flutter {     source = ""../.."" }andsettings.gradlepluginManagement {     def flutterSdkPath = {         def properties = new Properties()         file(""local.properties"").withInputStream { properties.load(it) }         def flutterSdkPath = properties.getProperty(""flutter.sdk"")         assert flutterSdkPath != null, ""flutter.sdk not set in local.properties""         return flutterSdkPath     }()      includeBuild(""$flutterSdkPath/packages/flutter_tools/gradle"")      repositories {         google()         mavenCentral()         gradlePluginPortal()     } }  plugins {     id ""dev.flutter.flutter-plugin-loader"" version ""1.0.0""     id ""com.android.application"" version ""8.1.0"" apply false     id ""org.jetbrains.kotlin.android"" version ""1.8.22"" apply false }  include "":app""andpubspec.yamlname: seriez description: ""A new Flutter project."" # The following line prevents the package from being accidentally published to # pub.dev using `flutter pub publish`. This is preferred for private packages. publish_to: 'none' # Remove this line if you wish to publish to pub.dev version: 1.0.0+1  environment:   sdk: '>=3.4.0 <4.0.0' dependencies:   flutter:     sdk: flutter    cupertino_icons: ^1.0.6   cached_network_image: ^3.4.1   flutter_carousel_widget: ^2.3.0   provider: ^6.1.2   flutter_typeahead: ^5.2.0   google_fonts: ^6.2.1   flutter_blurhash: ^0.8.2   video_player: ^2.9.2   sembast: ^3.7.4   path_provider: ^2.1.4   dio: ^5.7.0   flutter_local_notifications: ^17.2.2   http: ^1.2.2   wakelock_plus: ^1.2.8   flutter_svg: ^2.0.11   sizer: ^3.0.0   url_launcher: ^6.3.1   better_player: ^0.0.84     dev_dependencies:   flutter_test:     sdk: flutter   flutter_lints: ^3.0.0  # For information on the generic Dart part of this file, see the # following page: https://dart.dev/tools/pub/pubspec  # The following section is specific to Flutter packages. flutter:   uses-material-design: true    # To add assets to your application, add an assets section, like this:   assets:     - assets/data/thanks in advance","('android', 'flutter', 'kotlin', 'gradle', 'flutter-dependencies')",0,1
"Identifying only records that changed in Power BI I have the following table in Power BI, this table gets its data from Excel files stored in a folder that contains daily extracts from a source system. Sometimes users change records in the source system and we need to be able to identify which records were changed and which value or values in those records were changed, from what value to what value. How can we do that in power bi?Here is the sample tableHere is the expected output that I am looking for.Thank you, for your assistance!","('powerbi', 'powerquery')",-1,2
How to handle an expired refresh token in ktor? I use bearer and refresh tokens in ktor as described Herehttps://ktor.io/docs/client-bearer-auth.htmlWhat ist not mentioned in the docs is how the ktor auth module behaves when a token refresh ist required but the refresh token ist expired as well.I'd like to send the user to the login page when the refresh token ist expired but I don't know how,"('kotlin', 'ktor', 'ktor-client')",2,1
"Spring Boot 3 resource server bypass proxy I have Keycloak server running and a Spring Boot 3.3.5 application as a resource server.I have configured https proxy host and port via environment variables for entire application via System.setProperty('https.proxyHost',...) because several dependencies in my application requires it.Now all jwt token validation requests for resource server goes through the proxy and I get 403 forbidden. How I can bypass proxy for oauth2 resource server requests and set direct connection (rest template, http client) for resource server bypassing the proxy.P.S. I can't unset system proxy properties.","('spring-boot', 'proxy', 'jwt', 'resources')",0,0
"Expanding using declaratives for a conversion operator The following codedoes not compile. What would be the correct syntax, and is it available?I letstruct overloadedinherit from its transformed template arguments, wrapping every argument intocan_convert<T>before using it as a base class foroverloaded. Now, I want to make alloperator T()available in overloaded and therefore need a variadic using declarative. That is the point where I do not know whether this is possible in C++ and, if yes, what the syntax should look like.#include <string>  template <typename T>  struct can_convert_to  {      using type = T;     operator T();  };  template<class... Ts>   struct overloaded : can_convert_to<Ts>... {      // WHAT WOULD BE THE CORRECT SYNTAX HERE?     using can_convert_to<Ts>::operator typename can_convert_to<Ts>::type()...;      };  template<typename... Ts>  auto any_of() {     overloaded<Ts...> o;      return o; };  template<typename T> concept has_set = requires(T t) {     { t.set(         any_of<std::string_view, std::string, char*>()      ) } -> std::same_as<void>; };  struct Foo {}; static_assert(!has_set<Foo>);  struct Bar {     void set(std::string_view);     void set(std::string); }; static_assert(has_set<Bar>);  struct Baz {     void set(std::string); }; static_assert(has_set<Baz>);  struct Bazz {     void set(char const *); }; static_assert(has_set<Bazz>);","('c++', 'operator-overloading', 'variadic-templates')",0,1
"Azure Data Factor dataflow filter array objects I'm new to ADF. I have thousands of JSON files where I want to find value in the ""hobbies"" array, such as ""tennis"" or ""reading."" I'm unsure if using the derived column setting is the correct way to do it before sending it to the filter activity. Return the entire json file to sink If the values match.example json{     ""id"": 3,   ""name"": ""Laura Smith"",   ""hobbies"": [""tennis"", ""painting"", ""yoga""] }derivedColumn1 in the dataflow setting.hobbies_reading column:   contains(hobbies, 'reading')hobbies_tennis column:   contains(hobbies, 'tennis')hobbies_match column:    (hobbies_reading || hobbies_tennis)Filter1 setting:!isNull(hobbies_match)","('azure-data-factory',)",0,1
"background-image in diagonal pattern When usingbackground: url(""/images/bg.png"") repeat;the images display directly next to each other. Given that the image in question is rhombus how to make it so the images are positioned with a 45 degree offset each time in order to form a diagonal pattern?Image:Desirable outcome:","('css',)",-1,1
"React lazy components with poor internet connectivity and error boundaries: Failed import due to poor connectivity seems to be cached even when online In an ""offline-first"" app (which optimistically updates local state and gracefully handles errors by rolling back local state changes, for example), some features may still require internet connectivity.In one case, I require internet connectivity to use a feature or even mount a component. If the user has no internet access (presume I can reliably detect this), I throw an error if the component is mounted.I catch this error using an error boundary component that wrapsreact-error-boundary.Yes, in my example, I could simply check if the user is online in the relevant component and render the fallback if so, but there are other factors not described that should not be relevant to the minimal reproducible example.This is my wrapper for react-error-boundary's ErrorBoundary component:interface ErrorBoundaryProps extends React.PropsWithChildren {     message?: string }  interface ErrorFallbackProps extends ErrorBoundaryProps {     onRetry: () => void }  const ErrorFallback = memo((props: ErrorFallbackProps) => {     const { message = ""Something went wrong"", onRetry } = props     const { resetBoundary } = useErrorBoundary()      const handleRetry = useCallback(() => {         resetBoundary()         onRetry()     }, [onRetry, resetBoundary])      return (         <div>             <p>{message}</p>             <Button                 aria-label=""Try again""                 onClick={handleRetry}             >                 <RetryIcon />             </Button>         </div>     ) })  ErrorFallback.displayName = ""ErrorFallback""  export const CustomErrorBoundary = memo((props: ErrorBoundaryProps) => {     const { message } = props     const [attempt, setAttempt] = React.useState(0)      const handleRetry = useCallback(() => {         // `attempt` is incremented to remount all children         setAttempt((prev) => prev + 1)     }, [])      return (         <ErrorBoundary             // This should ensure that every retry results in a new mount             key={attempt}             fallback={<ErrorFallback message={message} onRetry={handleRetry} />}             onError={console.error}         >             {props.children}         </ErrorBoundary>     ) })Let's say I have a component like this:const BigOnlineFeature = memo(() => {     if (!userIsOnline) throw new Error(""This component requires internet connectivity."")      const [success, setSuccess] = useState<boolean | null>(null)      useEffect(() => {         // NOTE: Exceptions in unawaited promises should not trigger the error boundary         performSomeNetworkCall().then(() => {             setSuccess(true)         }).catch(() => {             setSuccess(false)         })     }, [])      if (success === undefined) return <p>Pending...</p>     if (success) return <p>Success!</p>     return <p>Failed!</p> })If I have an app like this:const App = () => {     return (         <CustomErrorBoundary message=""This feature requires internet connectivity."">             <RequiresInternetConnectivity />         </CustomErrorBoundary>     ) }then I do this procedure to test:In my browser's developer tools, block all requests or simulate throttling to the ""offline"" levelRender theAppcomponentSee the fallback with retryDisable throttling/offline simulationClick the retry button...then the final result is as expected.Now, there are two target audiences of this app:The people in the field, who will most likely not have internet access and will probably not use this online feature.The managers in an office with full internet access, who will likely use this feature.Due to the large size of the actualRequiresInternetConnectivitycomponent and everything it imports, I have made it alazy componentto improve the initial load of the app and lazy-load the code required for this feature:const BigOnlineFeature = React.lazy(() => import(""./path/to/BigOnlineFeature"")  const App = () => {     return (         <CustomErrorBoundary             message=""This feature requires internet connectivity. You are currently offline.""         >             <Suspense fallback={<Spinner />}>                 <BigOnlineFeature />             </Suspense>         </CustomErrorBoundary>     ) }This is the error that happens as expected when mounting the component while offline:Uncaught TypeError: error loading dynamically imported module: http://localhost:3000/src/onlineOnly/BigOnlineFeature.tsxHowever, when I disable the offline mode simulation and click the retry button, the same error is thrown again. If I remain online the whole time, it's loaded and rendered correctly.It seems likeReact.lazycaches the result of the first import. Because the arrow function inReact.lazythrew an error the first time, it will throw it every time.Probably relevant observations:The lazy component is defined outside the error boundaryStill, every time I click the retry button, it throws the same error about being unable to import the code (no subsequent network calls are made, though)The result of the arrow function is probably memoizedIs there a way for me to achieve what I'm trying to do: Lazily loading the code for a feature that requires internet connectivity, while still allowing the component that defines theReact.lazycomponent to be used while offline?Edit:Even if importing the lazy component within a wrapper, the result is the same (note that theBigOnlienFeatureWrapperbelow should be remounted on each retry because of theattemptkey):const BigOnlineFeatureWrapper = React.memo(() => {         const BigOnlineFeature = React.lazy(() => import(""./path/to/BigOnlineFeature""))          return <BigOnlineFeature />     })Edit 2:There seems to be an ongoingdiscussionabout catching these errors using error boundaries, but the only viable option seems to be to refresh the window, which is not really how this app works. If you reload the window, you reload a bunch of stuff that you don't want to reload. Navigating to the exact same UI state would also add a ton of complexity.","('reactjs', 'code-splitting', 'react-lifecycle', 'react-error-boundary', 'react-lazy-load')",1,1
"Row-Level Locking for Concurrent Processing in Java I have a table calledmessagewhere I process messages received over time. I am running a Java Spring Boot application deployed across multiple instances and JVMs. When a message with a specificidis picked for processing, I set its status toprocessing. I want to ensure that no other instance or thread picks up the same rows while they are being processed. Essentially, I need to lock the rows with the sameidso that only one instance can process them at a time.Other instances should wait if the rows are in theprocessingstate and retry after the processing is completed. The goal is to make other instances wait while theprocessingstate is active and allow them to process the message only after the status changes.I am using Java JPA and Hibernate, and I do not have shared caching between the instances. Is there a way to achieve this using pessimistic locking?Table structure example:idmessagestatustimexhelloprocessing11-12-24:11:08:09Zxboyprocessing12-12-24:11:08:09Zyhicompleted12-12-24:11:08:09Zzmeinitial12-12-24:11:08:09Z","('java', 'spring', 'spring-boot', 'multithreading', 'jpa')",0,0
Prevent VSCode from deleting highlighted region with backspace I'm usingAwesome Emacs Keybindingsin VSCode. One feature in Emacs is being able to setdelete-active-regiontonilso that backspace won't kill the highlighted region and only deletes the character at point.Is there a way to configure this in VSCode?,"('visual-studio-code', 'emacs')",0,0
"How do I make default option show up in dropdown menu with vue/inertia? I am using Inertia, Vue3 and Laravel and I can't seem to get a dropdown menu to autopopulate with the first option. It is just blank. This is my code:<template>         <form @submit.prevent=""update"">           <div>             <div @change=""update"">               <input v-model=""form.description"" type=""text"" />               <input v-model=""form.amount"" type=""text"" />               <select v-model=""form.frequency"">                 <option value=""monthly"">Monthly</option>                 <option value=""quarterly"">Quarterly</option>                 <option value=""yearly"">Yearly</option>               </select>               <input v-model=""form.day_deposited"" type=""text"" />             </div>                 </div>         </form>       </template>             <script setup>       import { useForm } from '@inertiajs/vue3'       const props = defineProps({         income: Object,       })       const form = useForm({         description: props.income.description,         amount: props.income.amount,         day_deposited: props.income.day_deposited,         frequency: props.income.frequency,       })       const update = () => form.put(`/income/${props.income.id}`)       </script>I've tried usingselectedandform.defaults().","('vuejs3', 'html-select', 'inertiajs')",0,2
